"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-28","0.00","22","1",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-01","0.00","3","-24",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-02","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-03","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-04","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-05","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-06","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-07","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-08","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-09","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-10","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-11","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-12","0.00",,,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-13","0.00","32","-25",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-14","0.00","28","4",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-15","0.00","25","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-16","0.00","27","-4",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-17","0.00","31","11",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-18","0.00","24","7",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-19","0.10","21","8",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-20","0.00","15","-20",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-21","0.00","14","-28",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-22","0.00","23","-16",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-23","0.00","24","-16",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-24","0.00","32","5",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-25","0.00","32","1",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-26","0.00","30","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-27","0.06","28","9",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-28","0.00","29","5",
